Format,Benchmark Name,Input Lines,Num Components (layout),Flow-layer Components,Control-layer Components,Area Score,Connection Length Score,Position Score,Symmetry Score,Bend Score,Overall Score
MINT,AJ_rtpcr_8primer,21,,,,,,,,,
MINT,ARIZE,47,,,,,,,,,
MINT,CRISPR,36,,,,,,,,,
MINT,DETECTR,55,,,,,,,,,
MINT,ELISALFR,28,,,,,,,,,
MINT,covid_crispr,24,,,,,,,,,
MINT,electro4,23,,,,,,,,,
MINT,hybri_detect,36,,,,,,,,,
MINT,part1_rna,35,,,,,,,,,
MINT,part2_lfr,31,,,,,,,,,
MINT,part3_gel,28,,,,,,,,,
MINT,rt_pcr,25,,,,,,,,,
MINT,expression1,17,,,,,,,,,
MINT,expression10,17,,,,,,,,,
MINT,expression11,24,,,,,,,,,
MINT,expression12,58,,,,,,,,,
MINT,expression13,17,,,,,,,,,
MINT,expression14,15,,,,,,,,,
MINT,expression15,25,,,,,,,,,
MINT,expression2,17,,,,,,,,,
MINT,expression3,30,,,,,,,,,
MINT,expression4,32,,,,,,,,,
MINT,expression5,34,,,,,,,,,
MINT,expression6,38,,,,,,,,,
MINT,expression7,33,,,,,,,,,
MINT,expression8,32,,,,,,,,,
MINT,expression9,17,,,,,,,,,
MINT,cycle,19,,,,,,,,,
MINT,n_g_m_map,15,,,,,,,,,
MINT,n_l_m_map,15,,,,,,,,,
MINT,one_to_one,20,,,,,,,,,
MINT,tree_bus,20,,,,,,,,,
MINT,tree_fanin,36,,,,,,,,,
MINT,tree_fanout,36,,,,,,,,,
MINT,device1_scRNA_seq,36,,,,,,,,,
MINT,device2_artificial_cells,52,,,,,,,,,
MINT,device4_molecular_diagnostics,26,,,,,,,,,
MINT,device5_bacteria_diagnostics,31,,,,,,,,,
MINT,device6_organic_chemical_synthesis,172,,,,,,,,,
MINT,declarations,20,,,,,,,,,
MINT,pumpstat,15,,,,,,,,,
MINT,cell_lysis,38,,,,,,,,,
MINT,cell_sorting,17,,,,,,,,,
MINT,dna_digest,17,,,,,,,,,
MINT,fluorescence,17,,,,,,,,,
MINT,ligation,23,,,,,,,,,
MINT,pcr,22,,,,,,,,,
MINT,transformation,17,,,,,,,,,
MINT,directed_evolution,31,,,,,,,,,
MINT,MFD005chip,21,,,,,,,,,
MINT,chemostat_chip,23,,,,,,,,,
MINT,dnasynthesizer,17,,,,,,,,,
MINT,genetic_clock_testing_tool,31,,,,,,,,,
MINT,glycoform,31,,,,,,,,,
MINT,gradient,19,,,,,,,,,
MINT,incubator,29,,,,,,,,,
MINT,inlet16,91,,,,,,,,,
MINT,kinetics,28,,,,,,,,,
MINT,microalgal_bioassay,50,,,,,,,,,
MINT,microdroplet,31,,,,,,,,,
MINT,microreactor,49,,,,,,,,,
MINT,mux96chambers,15,,,,,,,,,
MINT,nine_to_one_mux,72,,,,,,,,,
MINT,olfactory,25,,,,,,,,,
MINT,pre_processor_dump,35,,,,,,,,,
MINT,rootchip,17,,,,,,,,,
MINT,seeding,21,,,,,,,,,
MINT,cycle,19,,,,,,,,,
MINT,instance_mapping,22,,,,,,,,,
MINT,n_g_m_map,15,,,,,,,,,
MINT,n_l_m_map,15,,,,,,,,,
MINT,one_to_one_mapping,22,,,,,,,,,
MINT,tree_bus,46,,,,,,,,,
MINT,tree_fanin_mapping,15,,,,,,,,,
MINT,tree_fanout_mapping,15,,,,,,,,,
MINT,tree_fanout_mapping2,15,,,,,,,,,
MINT,tree_fanout_mapping3,15,,,,,,,,,
MINT,tree_storage_bus_mapping,15,,,,,,,,,
MINT,distribute_network_examples,29,,,,,,,,,
MINT,one_to_8,31,,,,,,,,,
MINT,one_to_one,17,,,,,,,,,
MINT,grad_gen_h,25,,,,,,,,,
MINT,grad_gen_v,23,,,,,,,,,
MINT,grid_4_mixer,122,,,,,,,,,
MINT,hmux01,35,,,,,,,,,
MINT,logic_test_01,9,,,,,,,,,
MINT,logic_test_02,57,,,,,,,,,
MINT,logic_test_03,62,,,,,,,,,
MINT,mux8,27,,,,,,,,,
MINT,net_multi_test,26,,,,,,,,,
MINT,net_test,17,,,,,,,,,
MINT,net_valve_test,50,,,,,,,,,
MINT,node_test_01,27,,,,,,,,,
MINT,nonplanar,14,,,,,,,,,
MINT,port_multi_connection,14,,,,,,,,,
MINT,portbank01,13,,,,,,,,,
MINT,super_mux_01,97,,,,,,,,,
MINT,super_mux_03,81,,,,,,,,,
MINT,test,9,,,,,,,,,
MINT,test01,33,,,,,,,,,
MINT,test02,38,,,,,,,,,
MINT,test03,22,,,,,,,,,
MINT,test04,25,,,,,,,,,
MINT,test05,12,,,,,,,,,
MINT,test06,24,,,,,,,,,
MINT,test_chambers,47,,,,,,,,,
MINT,test_mux_01,39,,,,,,,,,
MINT,test_mux_02,24,,,,,,,,,
MINT,transposer,6,,,,,,,,,
MINT,transposer_test,42,,,,,,,,,
MINT,tree_test_01,35,,,,,,,,,
MINT,tree_test_02,19,,,,,,,,,
MINT,tree_valve_test,31,,,,,,,,,
MINT,xing_h,33,,,,,,,,,
MINT,xing_v,34,,,,,,,,,
MINT,flow_focus,14,,,,,,,,,
MINT,grad_cells,40,,,,,,,,,
MINT,hasty,35,,,,,,,,,
MINT,logic04,67,,,,,,,,,
MINT,multi_input,41,,,,,,,,,
MINT,net_mux,123,,,,,,,,,
MINT,port,7,,,,,,,,,
MINT,rotary16,77,,,,,,,,,
MINT,rotary_cells,52,,,,,,,,,
MINT,simple,19,,,,,,,,,
MINT,simple_var0,21,,,,,,,,,
MINT,tdroplet,27,,,,,,,,,
MINT,array_constraint,130,,,,,,,,,
MINT,orthogonal_constraint,14,,,,,,,,,
MINT,orthogonal_constraint_large,41,,,,,,,,,
MINT,position_constraint,15,,,,,,,,,
MINT,relative_orientation_constraint,15,,,,,,,,,
MINT,tree_constraint,17,,,,,,,,,
MINT,and_annotation_test,42,,,,,,,,,
MINT,dist_expression1,17,,,,,,,,,
MINT,dist_expression2,19,,,,,,,,,
MINT,dist_expression3,19,,,,,,,,,
MINT,cell_traps_4,13,,,,,,,,,
MINT,hv_storage_grid_04,10,,,,,,,,,
MINT,hv_storage_grid_08,10,,,,,,,,,
MINT,hv_storage_grid_16,10,,,,,,,,,
MINT,hv_storage_grid_32,10,,,,,,,,,
MINT,hv_storage_grid_64,10,,,,,,,,,
MINT,mux_02_in,37,,,,,,,,,
MINT,mux_02_out,37,,,,,,,,,
MINT,mux_04_in,47,,,,,,,,,
MINT,mux_04_out,47,,,,,,,,,
MINT,mux_08_in,67,,,,,,,,,
MINT,mux_08_out,67,,,,,,,,,
MINT,mux_16_in,107,,,,,,,,,
MINT,mux_16_out,107,,,,,,,,,
MINT,mux_32_in,187,,,,,,,,,
MINT,mux_32_out,187,,,,,,,,,
MINT,mux_64_in,347,,,,,,,,,
MINT,mux_64_out,347,,,,,,,,,
MINT,single_storage_grid_01,10,,,,,,,,,
MINT,single_storage_grid_02,10,,,,,,,,,
MINT,single_storage_grid_04,10,,,,,,,,,
MINT,single_storage_grid_08,10,,,,,,,,,
MINT,single_storage_grid_16,10,,,,,,,,,
MINT,single_storage_grid_32,10,,,,,,,,,
MINT,single_storage_grid_64,10,,,,,,,,,
MINT,transposer_02,17,,,,,,,,,
MINT,transposer_03,64,,,,,,,,,
MINT,transposer_04,70,,,,,,,,,
MINT,transposer_08,10,,,,,,,,,
MINT,transposer_16,10,,,,,,,,,
MINT,transposer_32,10,,,,,,,,,
MINT,transposer_64,10,,,,,,,,,
MINT,dropletgenerator,15,,,,,,,,,
MINT,dropletgenerator2,27,,,,,,,,,
MINT,dropletgenerator3,28,,,,,,,,,
MINT,dropletgenerator4,26,,,,,,,,,
MINT,dropx_test1,15,,,,,,,,,
MINT,dropx_test2,22,,,,,,,,,
MINT,dropx_test3,22,,,,,,,,,
MINT,dropx_test4,19,,,,,,,,,
MINT,dx1,20,,,,,,,,,
MINT,dx10,19,,,,,,,,,
MINT,dx11,25,,,,,,,,,
MINT,dx12,22,,,,,,,,,
MINT,dx13,43,,,,,,,,,
MINT,dx14,76,,,,,,,,,
MINT,dx15,24,,,,,,,,,
MINT,dx2,25,,,,,,,,,
MINT,dx3,29,,,,,,,,,
MINT,dx4,134,,,,,,,,,
MINT,dx5,37,,,,,,,,,
MINT,dx6,25,,,,,,,,,
MINT,dx7,39,,,,,,,,,
MINT,dx8,30,,,,,,,,,
MINT,dx9,26,,,,,,,,,
MINT,dx10_ref,68,,,,,,,,,
MINT,dx11_ref,135,,,,,,,,,
MINT,dx12_ref,73,,,,,,,,,
MINT,dx13_ref,138,,,,,,,,,
MINT,dx14_ref,73,,,,,,,,,
MINT,dx15_ref,43,,,,,,,,,
MINT,dx1_ref,42,,,,,,,,,
MINT,dx2_ref,59,,,,,,,,,
MINT,dx3_ref,65,,,,,,,,,
MINT,dx4_ref,131,,,,,,,,,
MINT,dx5_ref,112,,,,,,,,,
MINT,dx6_ref,51,,,,,,,,,
MINT,dx7_ref,113,,,,,,,,,
MINT,dx8_ref,136,,,,,,,,,
MINT,dx9_ref,101,,,,,,,,,
MINT,issue10,38,,,,,,,,,
MINT,issue15,17,,,,,,,,,
MINT,issue2,20,,,,,,,,,
MINT,issue3,15,,,,,,,,,
MINT,issue6,29,,,,,,,,,
MINT,issue7,19,,,,,,,,,
MINT,issue8,19,,,,,,,,,
MINT,issue9,21,,,,,,,,,
MINT,grid_03,71,,,,,,,,,
MINT,grid_04,110,,,,,,,,,
MINT,grid_05,159,,,,,,,,,
MINT,grid_06,218,,,,,,,,,
MINT,grid_07,287,,,,,,,,,
MINT,grid_08,366,,,,,,,,,
MINT,grid_09,455,,,,,,,,,
MINT,grid_10,554,,,,,,,,,
MINT,grid_11,663,,,,,,,,,
MINT,grid_12,782,,,,,,,,,
MINT,grid_13,911,,,,,,,,,
MINT,grid_14,1050,,,,,,,,,
MINT,grid_15,1199,,,,,,,,,
MINT,grid_16,1358,,,,,,,,,
MINT,v0,31,,,,,,,,,
MINT,dropx_test1,17,,,,,,,,,
MINT,DNA_Digest,21,,,,,,,,,
MINT,PCR,36,,,,,,,,,
MINT,antibiotic_resistance,40,,,,,,,,,
MINT,cell_lysis,35,,,,,,,,,
MINT,fluorescence,19,,,,,,,,,
MINT,ligation,27,,,,,,,,,
MINT,pre_processor_dump,19,,,,,,,,,
MINT,sorting,24,,,,,,,,,
MINT,transformation,17,,,,,,,,,
MINT,grid_02,45,,,,,,,,,
MINT,grid_04,109,,,,,,,,,
MINT,grid_08,357,,,,,,,,,
MINT,grid_16,1333,,,,,,,,,
MINT,capacitance_sensor,12,,,,,,,,,
MINT,curved_mixer,15,,,,,,,,,
MINT,diamond_chamber,13,,,,,,,,,
MINT,droplet_generator_t,11,,,,,,,,,
MINT,droplet_merger,16,,,,,,,,,
MINT,droplet_sorter,12,,,,,,,,,
MINT,filter,15,,,,,,,,,
MINT,flow_focus_droplet_generator,11,,,,,,,,,
MINT,gradient_generator,16,,,,,,,,,
MINT,long_cell_trap,12,,,,,,,,,
MINT,mixer,16,,,,,,,,,
MINT,mixer_to_mixer,12,,,,,,,,,
MINT,mux,27,,,,,,,,,
MINT,mux3d,27,,,,,,,,,
MINT,node,12,,,,,,,,,
MINT,nozzle_droplet_generator,15,,,,,,,,,
MINT,pico_injector,13,,,,,,,,,
MINT,pump,23,,,,,,,,,
MINT,pump3d,23,,,,,,,,,
MINT,rotarymixer,16,,,,,,,,,
MINT,splitter,13,,,,,,,,,
MINT,square_cell_trap,15,,,,,,,,,
MINT,transposer,23,,,,,,,,,
MINT,tree,15,,,,,,,,,
MINT,valve,19,,,,,,,,,
MINT,ytree,15,,,,,,,,,
MINT,dropletx,17,,,,,,,,,
MINT,expresstest,17,,,,,,,,,
MINT,multi_input,48,,,,,,,,,
MINT,ring,30,,,,,,,,,
